"","PERTYPE","nmtours","freq"
"1","1","0",922209.461583457
"2","2","0",105863.296733501
"3","3","0",56003.8769962696
"4","4","0",73693.2521947981
"5","5","0",142110.608939954
"6","6","0",81656.9133973662
"7","7","0",334221.546707306
"8","8","0",137353.528039533
"9","Total","0",1853112.48459219
"10","1","1",464170.930470099
"11","2","1",85994.5435441932
"12","3","1",54584.4931491058
"13","4","1",56476.476002852
"14","5","1",232793.347420864
"15","6","1",28516.2776564137
"16","7","1",164643.529621135
"17","8","1",87226.6796530923
"18","Total","1",1174406.27751775
"19","1","2",123809.571337867
"20","2","2",32495.0335429447
"21","3","2",12020.1354029099
"22","4","2",21567.4707763532
"23","5","2",68701.8231917182
"24","6","2",5867.12530587005
"25","7","2",39845.3627020323
"26","8","2",16639.33759011
"27","Total","2",320945.859849806
"28","1","3pl",40043.9003107555
"29","2","3pl",13093.2178655952
"30","3","3pl",4947.0368113588
"31","4","3pl",15126.7677385671
"32","5","3pl",31426.3550704988
"33","6","3pl",2458.80249523726
"34","7","3pl",3217.06025605587
"35","8","3pl",2326.13667489715
"36","Total","3pl",112639.277222966
