"purpose","nstops","freq_out","freq_inb"
"work","1",78740,63262
"univ","1",6589,5876
"sch","1",21802,15818
"esco","1",21738,20266
"imain","1",39164,35234
"idisc","1",42166,38559
"jmain","1",13051,9631
"jdisc","1",16828,14226
"atwork","1",17559,16422
"Total","1",257637,219294
"work","2",12600,20718
"univ","2",1874,2294
"sch","2",6335,8622
"esco","2",2641,3379
"imain","2",11075,13030
"idisc","2",7699,9968
"jmain","2",1746,3986
"jdisc","2",1230,2954
"atwork","2",1754,2623
"Total","2",46954,67574
"work","3",2586,6680
"univ","3",599,720
"sch","3",841,3236
"esco","3",928,1093
"imain","3",4248,5583
"idisc","3",2318,3352
"jmain","3",231,898
"jdisc","3",175,706
"atwork","3",295,597
"Total","3",12221,22865
"work","4",1047,4313
"univ","4",546,718
"sch","4",491,1793
"esco","4",659,1228
"imain","4",3185,3825
"idisc","4",2125,2429
"jmain","4",108,621
"jdisc","4",88,435
"atwork","4",319,285
"Total","4",8568,15647
